id,fecha,iniciador,objetivo,provincia,fuente
772,2015-06-08,Kurdistan Sirio,ISIS,Raqqa,Twitter
773,2015-06-14,Kurdistan Sirio,ISIS,Raqqa,Media
774,2015-03-03,Kurdistan Sirio,ISIS,Hasakeh,Media
775,2015-05-27,Kurdistan Sirio,ISIS,Hasakeh,SOHR
776,2016-04-14,Oposicion,ISIS,Aleppo,SOHR
777,2016-09-03,CJTF-OIR,ISIS,Aleppo,Twitter
778,2015-06-13,Kurdistan Sirio,ISIS,Raqqa,Media
779,2015-06-16,Kurdistan Sirio,ISIS,Raqqa,Media
780,2015-02-26,Kurdistan Sirio,ISIS,Hasakeh,SOHR
781,2015-03-02,Kurdistan Sirio,ISIS,Hasakeh,Media
782,2016-09-05,Oposicion,ISIS,Aleppo,Twitter
783,2016-08-29,Oposicion,Kurdistan Sirio,Aleppo,Twitter
784,2015-05-02,Kurdistan Sirio,ISIS,Hasakeh,Twitter
785,2015-02-13,Kurdistan Sirio,ISIS,Aleppo,SOHR
786,2015-02-13,Kurdistan Sirio,ISIS,Aleppo,SOHR
787,2015-06-09,Kurdistan Sirio,ISIS,Quneitra,Media
788,2016-09-04,Oposicion,ISIS,Sweida,Twitter
789,2015-06-13,Kurdistan Sirio,ISIS,Raqqa,Media
790,2016-09-03,Oposicion,ISIS,Aleppo,Twitter
791,2015-06-13,Kurdistan Sirio,ISIS,Raqqa,Media
792,2016-08-29,Oposicion,Kurdistan Sirio,Aleppo,Twitter
793,2015-02-18,Kurdistan Sirio,ISIS,Raqqa,SOHR
794,2015-05-31,Kurdistan Sirio,ISIS,Raqqa,Media
795,2015-02-26,Kurdistan Sirio,ISIS,Hasakeh,SOHR
796,2015-02-13,Kurdistan Sirio,ISIS,Aleppo,SOHR
797,2015-06-16,Kurdistan Sirio,ISIS,Raqqa,Media
798,2015-02-13,Kurdistan Sirio,ISIS,Aleppo,SOHR
799,2015-03-14,Kurdistan Sirio,ISIS,Aleppo,Media
800,2015-02-13,Kurdistan Sirio,ISIS,Aleppo,SOHR
801,2016-09-04,Oposicion,ISIS,Aleppo,Twitter
802,2015-06-05,Kurdistan Sirio,ISIS,Raqqa,Media
803,2015-02-07,Kurdistan Sirio,ISIS,Aleppo,SOHR
804,2015-06-13,Kurdistan Sirio,ISIS,Raqqa,Media
805,2016-01-04,Kurdistan Sirio,ISIS,Raqqa,Media
806,2016-12-01,Oposicion,ISIS,Aleppo,SOHR
807,2015-06-14,Kurdistan Sirio,ISIS,Raqqa,Media
808,2015-02-28,Kurdistan Sirio,ISIS,Hasakeh,SOHR
809,2015-02-07,Kurdistan Sirio,ISIS,Aleppo,SOHR
810,2015-02-27,Kurdistan Sirio,ISIS,Hasakeh,SOHR
811,2015-02-13,Kurdistan Sirio,ISIS,Aleppo,SOHR
812,2015-02-18,Kurdistan Sirio,ISIS,Aleppo,SOHR
